InChIKey	Log2FC	Label
SAOKZLXYCUGLFA	4.658187888	hexanedioic acid, bis(2-ethylhexyl) ester
UCMIRNVEIXFBKS	0.579761254	.beta.-alanine
OTCCIMWXFLJLIA	-0.99091049	n-acetylaspartate
GLNDAGDHSLMOKX	2.137388157	7-amino-4-methylcoumarin
WIONIXOBNMDJFJ	4.890547257	dictamnine
RSTKLPZEZYGQPY	2.605124048	indole-3-pyruvic acid
COLNVLDHVKWLRT	1.121497438	dl-phenylalanine
GMSNIKWWOQHZGF	-1.947476899	3-methylxanthine
KDYFGRWQOYBRFD	3.538327455	succinic acid
LYRFLYHAGKPMFH	3.786308011	stearamide
OUDFNZMQXZILJD	2.384916049	5-methyl-2-furaldehyde
ODKSFYDXXFIFQN	0.373389736	l-arginine
SXKNCCSPZDCRFD	-1.819585879	betaine aldehyde cation
FMPNFDSPHNUFOS	0.621079008	himbacine
QIAFMBKCNZACKA	-4.846794522	hippuric acid
ROHFNLRQFUQHCH	0.010847954	l-leucine
ZGXJTSGNIOSYLO	0.797658289	5-aminolevulinic acid
SNICXCGAKADSCV	-2.117961426	nicotine
NIPZZXUFJPQHNH	0.408764199	pyrazine-2-carboxylic acid
VXPBDCBTMSKCKZ	0.427409112	15-ketoprostaglandin e1
YGPSJZOEDVAXAB	-1.107591082	l-kynurenine
XNGIFLGASWRNHJ	2.842560683	1,2-benzenedicarboxylic acid
FAQJJMHZNSSFSM	2.632047765	phenylglyoxylic acid
RFMMMVDNIPUKGG	1.49702208	n-acetyl-l-glutamic acid
BTJIUGUIPKRLHP	-0.157587376	4-nitrophenol
QVWAEZJXDYOKEH	5.397245564	dihydro-3-coumaric acid
RFSUNEUAIZKAJO	-0.990747693	d-fructose
XGILAAMKEQUXLS	0.344672954	dl-indole-3-lactic acid
SQVRNKJHWKZAKO	1.699598553	n-acetyl-a-neuraminic acid
XGUHPTGEXRHMQQ	0.507552262	19-hydroxyandrost-4-ene-3,17-dione
JVTAAEKCZFNVCJ	0.970452732	d-lactic acid
XVPBINOPNYFXID	1.056026872	oxymatrine
ZBSGKPYXQINNGF	-0.477308383	nicotinuric acid
WWUZIQQURGPMPG	1.096214273	d-erythro-c18-sphingosine
VHRGRCVQAFMJIZ	1.011173626	1,5-pentanediamine
QWVGKYWNOKOFNN	3.072289294	o-cresol
DZGWFCGJZKJUFP	4.115704484	phenol, 4-(2-aminoethyl)-
VZCYOOQTPOCHFL	0.792997079	maleic acid
UGQMRVRMYYASKQ	-0.609028907	inosine
FSYKKLYZXJSNPZ	-1.264585077	sarcosine
NGFMICBWJRZIBI	-1.442405233	salicin
DUUGKQCEGZLZNO	-0.220544556	1h-indole-3-acetic acid, 5-hydroxy-
CDAWCLOXVUBKRW	-3.622101461	phenol, o-amino-
QIVBCDIJIAJPQS	0.408295372	d-tryptophan
PHIQHXFUZVPYII	-10.26872451	l-carnitine
VVIUBCNYACGLLV	-2.601051886	hypotaurine
JBKPUQTUERUYQE	-0.466304967	pralidoxime cation
VLCYCQAOQCDTCN	0.06237411	eflornithine
XPCTZQVDEJYUGT	2.328436524	maltol
FATBGEAMYMYZAF	4.326285	9-octadecenamide, (z)-
JOXIMZWYDAKGHI	-0.659938421	p-toluenesulfonic acid
LOIYMIARKYCTBW	5.002564791	4-imidazoleacrylic acid
KWGRBVOPPLSCSI	-9.143472029	ephedrine
QQXLDOJGLXJCSE	1.82161274	tropinone
LTLYEAJONXGNFG	1.012875382	e-64
QZAYGJVTTNCVMB	-2.350491918	serotonin
ODHCTXKNWHHXJC	-0.820150977	d-pyroglutamic acid
UQOFGTXDASPNLL	-3.285531532	(+)-muscarine cation
KMXXSJLYVJEBHI	-0.430621359	3-guanidinopropanoate
GSEJCLTVZPLZKY	-5.859816553	triethanolamine
OROGSEYTTFOCAN	0.598424961	codeine
RRVIAQKBTUQODI	0.182739724	methabenzthiazuron
JTEYKUFKXGDTEU	-4.114395016	2,3-dihydroxy-3-methylbutyric acid
JLQSXXWTCJPCBC	-0.458625834	3-pyridinecarboxamide, 1,6-dihydro-1-methyl-6-oxo-
CVSVTCORWBXHQV	-0.89133132	creatine
YSAUAVHXTIETRK	0.508598787	pyrantel
FFFHZYDWPBMWHY	-3.400597752	dl-homocysteine
ZERYGJQXPPRRCW	-2.454471402	confertifoline
FJKROLUGYXJWQN	0.063646494	p-salicylic acid
FONIWJIDLJEJTL	-0.057387852	n8-acetylspermidine
RAXXELZNTBOGNW	-0.074310244	1h-imidazole
QEMXHQIAXOOASZ	0.687618448	tetramethylammonium cation
RCKMWOKWVGPNJF	0.271745447	1-piperazinecarboxamide, n,n-diethyl-4-methyl-
XMIIGOLPHOKFCH	2.912672271	hydrocinnamic acid
LJUQGASMPRMWIW	-0.835202692	5,6-dimethylbenzimidazole
DSLZVSRJTYRBFB	-1.220677543	d-glucarate
ULSIYEODSMZIPX	1.062606367	2-amino-1-phenylethanol
GFFGJBXGBJISGV	-0.740999378	adenine
NJESAXZANHETJV	3.751993739	2-hydroxy-4-methylbenzoic acid
JVGVDSSUAVXRDY	2.19153758	p-hydroxyphenyllactic acid
MSWZFWKMSRAUBD	-3.082509616	d-mannosamine
UUFAJPMQSFXDFR	0.408340037	n-desmethylselegiline
XSQUKJJJFZCRTK	-0.196948397	urea
PRJKNHOMHKJCEJ	1.522775185	4-imidazoleacetic acid
WVTKBKWTSCPRNU	1.140325073	(+)-tetrandrine
AERBNCYCJBRYDG	2.131999176	phytosphingosine
BQPRWZCEKZLBHL	-2.1384476	pimpinellin
RWQNBRDOKXIBIV	3.332084538	thymine
ISAKRJDGNUQOIC	1.000889211	uracil
TWBYWOBDOCUKOW	4.251067733	4-pyridinecarboxylic acid
GLVAUDGFNGKCSF	2.776951837	6-mercaptopurine
DHMQDGOQFOQNFH	-1.274319001	glycine
WQZGKKKJIJFFOK	-2.878337821	d-(+)-mannose
FFEARJCKVFRZRR	0.126838128	l-methionine
KTLRWTOPTKGYQY	0.018904938	1-methyl-4-pyridone-5-carboxamide
OFOBLEOULBTSOW	0.454641453	malonic acid
KPGXRSRHYNQIFN	0.147506811	oxoglutaric acid
NBAKTGXDIBVZOO	-1.080572558	5-methyl-5,6-dihydrouracil
LQXVFWRQNMEDEE	-1.500311611	d-ribulose
MVVPIAAVGAWJNQ	2.237490496	arachidonoyl dopamine
WRHZVMBBRYBTKZ	-0.655559177	pyrrole-2-carboxylic acid
NCIKQJBVUNUXLW	-0.160728568	n-methyltryptamine
ZIYVHBGGAOATLY	3.434858532	methylmalonic acid
CDAISMWEOUEBRE	-4.949191034	myo-inositol
STCOOQWBFONSKY	-1.583150912	tributyl phosphate
WLJVXDMOQOGPHL	5.080986782	phenylacetic acid
FEPBITJSIHRMRT	1.285309595	4-hydroxybenzenesulfonic acid
ZWLPBLYKEWSWPD	2.147205145	2-methylbenzoic acid
UYTPUPDQBNUYGX	1.36649504	guanine
DCSCXTJOXBUFGB	0.169475933	(-)-verbenone
UBQKCCHYAOITMY	-2.917865091	2(1h)-pyridinone
VIHAEDVKXSOUAT	-0.631394746	2(5h)-furanone
WJXSWCUQABXPFS	-4.982557417	benzoic acid, 2-amino-3-hydroxy-
LBTABPSJONFLPO	1.765711079	dl-2-amino-3-phosphonopropionic acid
CVHZOJJKTDOEJC	3.966838411	saccharin
ZFXYFBGIUFBOJW	-5.134869919	aminophylline
XQXPVVBIMDBYFF	3.02934655	p-hydroxyphenylacetic acid
JDVVGAQPNNXQDW	1.321427988	castanospermine
HXYVTAGFYLMHSO	2.920498901	palmitoyl ethanolamide
NBIIXXVUZAFLBC	0.396643693	phosphoric acid
RYYVLZVUVIJVGH	-4.165855572	caffeine
PVNIIMVLHYAWGP	4.251021833	nicotinic acid
MYKUKUCHPMASKF	-2.24181966	nornicotine
BXRLWGXPSRYJDZ	0.018360502	.beta.-cyano-l-alanine
WHOOUMGHGSPMGR	-0.222018306	indoleacetaldehyde
VFQXVTODMYMSMJ	1.939990404	isonicotinamide
ZVFDTKUVRCTHQE	-0.072464989	diisodecyl phthalate
CCEFMUBVSUDRLG	-1.474931409	limonene-1,2-epoxide
YWJXCIXBAKGUKZ	-3.181853117	bergenin
HAORKNGNJCEJBX	0.112367745	cyprodinil
WPYMKLBDIGXBTP	0.065785994	benzoic acid
HOKKHZGPKSLGJE	-0.641204228	n-methyl-d-aspartic acid
IISBACLAFKSPIT	0.486807732	bisphenol a
NBSCHQHZLSJFNQ	-0.663300647	d-mannose 6-phosphate
HWXBTNAVRSUOJR	1.59118694	(s)-2-hydroxyglutarate
PUAQLLVFLMYYJJ	0.148214765	s(-)-cathinone
