node	reaction	K14541
node	reaction	K01457
node	metabolite	AVWRKZWQTYIKIY
node	metabolite	XLYOFNOQVPJJNP
node	metabolite	CURLTUGMZLYLDI
node	metabolite	QGZKDVFQNNGYKY
node	reaction	K11258
node	reaction	K01652
node	reaction	K01653
node	metabolite	NMDWGEGFJUBKLB
node	metabolite	LCTONWCANYUPML
node	reaction	K10218
node	metabolite	YRWAMSXHYBBHFL
node	reaction	K03781
node	metabolite	MHAJPDPJQMAIIY
node	metabolite	MYMOFIZGZYHOMD
node	reaction	K01194
node	reaction	K22934
node	metabolite	HDTRYLNUVZCQOY
node	metabolite	WQZGKKKJIJFFOK
node	reaction	K01608
node	metabolite	HHLFWLYXYJOTON
node	metabolite	QWBAFPFNGRFSFB
node	reaction	K01568
node	reaction	K00163
node	reaction	K00161
node	reaction	K00162
node	metabolite	AYEKOFBPNLCAJY
node	metabolite	RRUVJGASJONMDY
node	reaction	K00808
node	metabolite	KIDHWZJUCRJVML
node	metabolite	UODZHRGDSPLRMD
node	reaction	K00533
node	reaction	K18017
node	reaction	K00534
node	reaction	K18023
node	reaction	K14127
node	reaction	K14128
node	reaction	K18016
node	reaction	K14126
node	reaction	K06441
node	reaction	K00532
node	metabolite	GPRLSGONYQIRFK
node	metabolite	UFHFLCQGNIYNRP
node	reaction	K00284
node	metabolite	WHUUTDBJXJRKMK
node	metabolite	KPGXRSRHYNQIFN
node	metabolite	ZDXPYRJPNDTMRX
node	reaction	K01207
node	reaction	K12373
node	metabolite	CDOJPCSDOXYJJF
node	metabolite	OVRNDRQMDRJTHS
node	reaction	K01602
node	reaction	K01601
node	metabolite	YAHZABJORDUQGO
node	metabolite	OSJPPGNTCRNQQC
node	reaction	K00459
node	metabolite	YTNIXZGTHTVJBW
node	metabolite	YERBBVNYIKLXDM
node	metabolite	FVTCRASFADXXNN
node	metabolite	IKHGUXGNUITLKF
node	metabolite	IOVCWXUNBOPUCH
node	reaction	K05350
node	reaction	K05349
node	reaction	K01188
node	metabolite	GUBGYTABKSRVRQ
node	reaction	K12047
node	reaction	K12316
node	reaction	K01187
node	reaction	K12317
node	reaction	K19713
node	metabolite	DHCDFWKWKRSZHF
node	metabolite	HPQYKCJIWQFJMS
node	reaction	K00422
node	metabolite	OUYCCCASQSFEME
node	metabolite	WTDRDQBEARUVNC
node	reaction	K00515
node	metabolite	OENHQHLEOONYIE
node	metabolite	NCYCYZXNIZJOKI
node	reaction	K01698
node	metabolite	ZGXJTSGNIOSYLO
node	metabolite	QSHWIQZFGQKFMA
node	metabolite	AHMIDUVKSGCHAU
node	reaction	K07518
node	metabolite	RILHUWWTCSDPAN
node	metabolite	WHBMMWSBFZVSSR
node	reaction	K01513
node	reaction	K01453
node	metabolite	IWENLYKHSZCPRD
node	metabolite	SLXKOJJOQWFEFD
node	reaction	K00793
node	metabolite	SXDXRJZUAJBNFL
node	metabolite	XKQZIXVJVUPORE
node	metabolite	AUNGANRZJHBGPY
node	reaction	K00423
node	metabolite	CIWBSHSKHKDKBQ
node	metabolite	SBJKKFFYIZUCET
node	reaction	K11987
node	reaction	K00509
node	metabolite	YIBNHAJFJUQSRA
node	metabolite	SGUKUZOVHSFKPH
node	reaction	K20219
node	reaction	K20204
node	metabolite	CDAWCLOXVUBKRW
node	metabolite	RDJXPXHQENRCNG
node	reaction	K05953
node	metabolite	MEFKEPWMEQBLKI
node	metabolite	KRGPXXHMOXVMMM
node	metabolite	WUUGFSXJNOTRMR
node	reaction	K03594
node	reaction	K22336
node	reaction	K13624
node	reaction	K18495
node	reaction	K00522
node	reaction	K14735
node	reaction	K22552
node	reaction	K19054
node	reaction	K13625
node	metabolite	CWYNVVGOOAEACU
node	metabolite	VTLYFUHAOXGGBS
node	reaction	K01749
node	metabolite	WDFJYRZCZIUBPR
node	reaction	K14642
node	reaction	K06928
node	reaction	K01509
node	reaction	K14641
node	reaction	K01510
node	metabolite	ZKHQWZAMYRWXGA
node	metabolite	NBIIXXVUZAFLBC
node	metabolite	XTWYTFMLZFPYCI
node	reaction	K04765
node	metabolite	XPPKVPWEQAFLFU
node	metabolite	UDMBCSSLTHHNCD
node	reaction	K08043
node	reaction	K08047
node	reaction	K22944
node	reaction	K08042
node	reaction	K08048
node	reaction	K08046
node	reaction	K11265
node	reaction	K11029
node	reaction	K01768
node	reaction	K08041
node	reaction	K08045
node	reaction	K08044
node	reaction	K05851
node	reaction	K05873
node	reaction	K08049
node	metabolite	IVOMOUWHDPKRLL
node	reaction	K00264
node	metabolite	BAWFJGJZGIEFAR
node	metabolite	BOPGDPNILDQYTO
node	reaction	K00383
node	metabolite	RWSXRVCMGQZWBV
node	metabolite	YPZRWBKMTBYPTK
node	reaction	K08232
node	metabolite	LHFJOBMTAJJOTB
node	reaction	K00326
node	reaction	K18153
node	reaction	K27536
node	reaction	K19980
